problemSize	problemNum	lineTypes	boxLimit	boxNum	machineCount	carCount	bufferSize	sortReturns	iterCount	dynamic	sameTemperature	startThres	power	moveProb	innerProb	best	worst	mean
20	4	A		27	6	20	6	true	988	false	1	2966.0	0.99	0.5	uniform	2483	2692	2584.3
20	4	A		27	6	20	6	true	9923	false	1	2966.0	0.999	0.5	uniform	2476	2538	2513.1
20	4	A		27	6	20	6	true	99271	false	1	2966.0	0.9999	0.5	uniform	2455	2517	2490.3
20	4	A		27	6	20	6	true	992756	false	1	2966.0	0.99999	0.5	uniform	2455	2504	2462.7
20	4	A		27	6	20	6	true	9927609	false	1	2966.0	0.999999	0.5	uniform	2455	2490	2461.3
20	4	A		27	6	20	6	true	1000000	false	1	3134.0	0.9999900173396703	0.5	uniform	2455	2517	2474.5
20	4	A		27	6	20	6	true	1000000	false	2	3134.0	0.999980034778994	0.5	uniform	2455	2504	2467.6
20	4	A		27	6	20	6	true	1000000	false	10	3134.0	0.999900177880991	0.5	uniform	2455	2504	2473.3
20	4	A		27	6	20	6	true	1000000	false	27	3134.0	0.9997305031465682	0.5	uniform	2455	2517	2480.1
20	4	A		27	6	20	6	true	1000000	false	54	3134.0	0.9994610789216906	0.5	uniform	2455	2517	2485.5
50	1	A		101	6	20	5	true	1000000	false	1	2898.0	0.9999900956281919	0.5	uniform	5185	5194	5186.7
50	1	A		101	6	20	5	true	1000000	false	2	2898.0	0.9999801913544802	0.5	uniform	5185	5186	5185.7
50	1	A		101	6	20	5	true	1000000	false	10	2898.0	0.9999009606961478	0.5	uniform	5185	5200	5188.1
50	1	A		101	6	20	5	true	1000000	false	50	2898.0	0.9995049015588616	0.5	uniform	5185	5193	5186.4
50	1	A		101	6	20	5	true	1000000	false	101	2898.0	0.9990001536732318	0.5	uniform	5185	5187	5186.0
50	1	A		101	6	20	5	true	1000000	false	202	2898.0	0.9980013070391408	0.5	uniform	5185	5186	5185.9
50	1	A		101	6	20	5	true	1000000	false	404	2898.0	0.9960066088518335	0.5	uniform	5185	5187	5186.1
100	1	A		218	8	20	5	true	1000000	false	1	4854.0	0.9999895798511699	0.5	uniform	9452	9913	9651.4
100	1	A		218	8	20	5	true	1000000	false	2	4854.0	0.9999791598109193	0.5	uniform	9549	9774	9690.2
100	1	A		218	8	20	5	true	1000000	false	10	4854.0	0.9998958033976411	0.5	uniform	9494	9826	9638.3
100	1	A		218	8	20	5	true	1000000	false	100	4854.0	0.9989585224026222	0.5	uniform	9333	9871	9562.9
100	1	A		218	8	20	5	true	1000000	false	200	4854.0	0.9979181294808301	0.5	uniform	9579	9843	9704.0
100	1	A		218	8	20	5	true	1000000	false	400	4854.0	0.9958405931465188	0.5	uniform	9452	9835	9642.8
100	1	A		218	8	20	5	true	1000000	false	800	4854.0	0.9916984869584105	0.5	uniform	9385	9911	9633.0
20	4	A		27	6	20	6	true	1000000	false	100	3272.0	0.9989979222723899	0.5	uniform	2455	2517	2480.1
20	4	A		27	6	20	6	true	1000000	false	400	3272.0	0.9959977100242163	0.5	uniform	2455	2517	2479.2
20	4	A		27	6	20	6	true	1000000	false	729	3272.0	0.9927178351501678	0.5	uniform	2455	2517	2482.2
20	4	A		27	6	20	6	true	1000000	false	1458	3272.0	0.9854887002252357	0.5	uniform	2455	2517	2487.1
20	4	A		27	6	20	6	true	1000000	false	2916	3272.0	0.9711879782716245	0.5	uniform	2455	2517	2480.7
50	1	A		101	6	20	5	true	1000000	false	1000	2992.0	0.9901128602752486	0.5	uniform	5185	5194	5187.5
50	1	A		101	6	20	5	true	1000000	false	5000	2992.0	0.9515322391558165	0.5	uniform	5186	5194	5187.0
50	1	A		101	6	20	5	true	1000000	false	10000	2992.0	0.905413602152882	0.5	uniform	5185	5186	5185.6
50	1	A		101	6	20	5	true	1000000	false	20000	2992.0	0.8197737909634573	0.5	uniform	5186	5188	5186.2
50	1	A		101	6	20	5	true	1000000	false	40000	2992.0	0.6720290683505982	0.5	uniform	5185	5193	5186.7
100	1	A		218	8	20	5	true	1000000	false	10000	4254.0	0.9022328918442961	0.5	uniform	9521	9786	9645.3
100	1	A		218	8	20	5	true	1000000	false	20000	4254.0	0.8140241911257213	0.5	uniform	9556	9736	9626.7
100	1	A		218	8	20	5	true	1000000	false	40000	4254.0	0.6626353837378848	0.5	uniform	9536	9740	9623.7
100	1	A		218	8	20	5	true	1000000	false	80000	4254.0	0.4390856517814538	0.5	uniform	9512	9843	9656.8
100	1	A		218	8	20	5	true	1000000	false	160000	4254.0	0.1927962096003441	0.5	uniform	9571	9845	9705.4
20	4	A		27	6	20	6	true	1000000	false	1	3496.0	0.9999899080314536	0.5	itemBased	2455	2517	2480.8
50	1	A		101	6	20	5	true	1000000	false	1	2798.0	0.9999901307438123	0.5	itemBased	5185	5187	5185.9
100	1	A		218	8	20	5	true	1000000	false	1	5678.0	0.9999894230568653	0.5	itemBased	9327	9616	9478.6
